room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
4170452,1430,21408671,Shared room,,San Francisco,,Inner Richmond,1,0.0,1,1.0,,150.0,,2017-07-10 23:43:30.373410,37.773817,-122.469664,0101000020E6100000F20698F90E9E5EC05F0B7A6F0CE34240
4081570,1430,21170180,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,175.0,,2017-07-10 23:43:30.370545,37.780513,-122.397095,0101000020E6100000ED9925016A995EC02A8D98D9E7E34240
10839934,1430,8334445,Shared room,,San Francisco,,Western Addition,0,0.0,2,1.0,,160.0,,2017-07-10 23:43:30.367729,37.774644,-122.432634,0101000020E6100000CF488446B09B5EC07505DB8827E34240
9375363,1430,12491207,Shared room,,San Francisco,,Ocean View,4,4.0,5,1.0,,169.0,,2017-07-10 23:43:30.364976,37.70994,-122.468035,0101000020E610000089981249F49D5EC0A60F5D50DFDA4240
8306266,1430,43793752,Shared room,,San Francisco,,South of Market,14,5.0,1,1.0,,155.0,,2017-07-10 23:43:30.361545,37.779889,-122.402881,0101000020E610000081CB63CDC8995EC04CC11A67D3E34240
12433576,1430,166219,Shared room,,San Francisco,,South of Market,4,5.0,2,1.0,,139.0,,2017-07-10 23:43:28.486369,37.781626,-122.391006,0101000020E61000008CA2073E06995EC006DA1D520CE44240
6910758,1430,30920210,Shared room,,San Francisco,,South of Market,186,5.0,2,1.0,,130.0,,2017-07-10 23:43:28.482912,37.775244,-122.407506,0101000020E61000001FBB0B94149A5EC0CA3505323BE34240
815711,1430,2430013,Shared room,,San Francisco,,Outer Richmond,3,5.0,1,1.0,,100.0,,2017-07-10 23:43:27.496797,37.780847,-122.503349,0101000020E61000005B5EB9DE36A05EC0011764CBF2E34240
9529057,1430,5181498,Shared room,,San Francisco,,Inner Sunset,0,0.0,1,1.0,,105.0,,2017-07-10 23:43:27.492182,37.764785,-122.462207,0101000020E6100000DE3EABCC949D5EC056BC9179E4E14240
7419076,1430,38863639,Shared room,,San Francisco,,Diamond Heights,0,0.0,1,1.0,,120.0,,2017-07-10 23:43:27.489030,37.744062,-122.439526,0101000020E610000078EFA831219C5EC02219726C3DDF4240
18794629,1430,117141107,Shared room,,San Francisco,,Haight Ashbury,3,5.0,3,1.0,,115.0,,2017-07-10 23:43:27.486443,37.76922,-122.451068,0101000020E61000006B11514CDE9C5EC0EDB60BCD75E24240
14610133,1430,69716994,Shared room,,San Francisco,,Chinatown,5,5.0,1,1.0,,80.0,,2017-07-10 23:43:24.392556,37.797211,-122.407981,0101000020E6100000EC18575C1C9A5EC0778192020BE64240
11297447,1430,22931450,Shared room,,San Francisco,,North Beach,45,5.0,2,1.0,,80.0,,2017-07-10 23:43:24.385613,37.798492,-122.404073,0101000020E6100000950C0055DC995EC00F0F61FC34E64240
8598745,1430,45251621,Shared room,,San Francisco,,Nob Hill,0,0.0,1,1.0,,85.0,,2017-07-10 23:43:24.382421,37.79119,-122.420715,0101000020E6100000F27B9BFEEC9A5EC00C76C3B645E54240
8135263,1430,4804748,Shared room,,San Francisco,,Outer Richmond,0,0.0,1,1.0,,100.0,,2017-07-10 23:43:24.379489,37.773525,-122.492837,0101000020E61000008F5033A48A9F5EC0B7D100DE02E34240
11638464,1430,61691252,Shared room,,San Francisco,,Nob Hill,1,0.0,1,1.0,,100.0,,2017-07-10 23:43:24.376033,37.794078,-122.41509,0101000020E610000063B9A5D5909A5EC08E3C1059A4E54240
16464767,1430,2750828,Shared room,,San Francisco,,Mission,1,0.0,1,1.0,,99.0,,2017-07-10 23:43:24.372001,37.751589,-122.421867,0101000020E6100000BF1072DEFF9A5EC045847F1134E04240
11528376,1430,14488206,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,100.0,,2017-07-10 23:43:24.369109,37.751365,-122.408968,0101000020E610000013471E882C9A5EC0F52D73BA2CE04240
8504147,1430,28304379,Shared room,,San Francisco,,Mission,0,0.0,2,1.0,,100.0,,2017-07-10 23:43:24.366344,37.75847,-122.407347,0101000020E6100000EBC726F9119A5EC0A27F828B15E14240
8037572,1430,6990092,Shared room,,San Francisco,,Western Addition,87,4.5,2,1.0,,81.0,,2017-07-10 23:43:24.363573,37.774602,-122.42991,0101000020E61000004C8E3BA5839B5EC046B5882826E34240
19716643,1430,51050875,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,99.0,,2017-07-10 23:43:24.361374,37.787871,-122.391231,0101000020E61000009C8BBFED09995EC0C13BF9F4D8E44240
7181819,1430,17018982,Shared room,,San Francisco,,North Beach,36,4.5,1,1.0,,90.0,,2017-07-10 23:43:24.358603,37.804307,-122.412341,0101000020E6100000327381CB639A5EC0D1782288F3E64240
12205354,1430,65392037,Shared room,,San Francisco,,South of Market,82,4.5,2,1.0,,89.0,,2017-07-10 23:43:24.355803,37.778855,-122.403632,0101000020E61000009FE74F1BD5995EC0BDA94885B1E34240
